Date,Trimester,monthName,day,month,year
2020-01-01 00:00:00,Trim. 1,enero,1,1,2020
2020-01-02 00:00:00,Trim. 1,enero,2,1,2020
2020-01-03 00:00:00,Trim. 1,enero,3,1,2020
2020-01-04 00:00:00,Trim. 1,enero,4,1,2020
2020-01-05 00:00:00,Trim. 1,enero,5,1,2020
2020-01-06 00:00:00,Trim. 1,enero,6,1,2020
2020-01-07 00:00:00,Trim. 1,enero,7,1,2020
2020-01-08 00:00:00,Trim. 1,enero,8,1,2020
2020-01-09 00:00:00,Trim. 1,enero,9,1,2020
2020-01-10 00:00:00,Trim. 1,enero,10,1,2020
2020-01-11 00:00:00,Trim. 1,enero,11,1,2020
2020-01-12 00:00:00,Trim. 1,enero,12,1,2020
2020-01-13 00:00:00,Trim. 1,enero,13,1,2020
2020-01-14 00:00:00,Trim. 1,enero,14,1,2020
2020-01-15 00:00:00,Trim. 1,enero,15,1,2020
2020-01-16 00:00:00,Trim. 1,enero,16,1,2020
2020-01-17 00:00:00,Trim. 1,enero,17,1,2020
2020-01-18 00:00:00,Trim. 1,enero,18,1,2020
2020-01-19 00:00:00,Trim. 1,enero,19,1,2020
2020-01-20 00:00:00,Trim. 1,enero,20,1,2020
2020-01-21 00:00:00,Trim. 1,enero,21,1,2020
2020-01-22 00:00:00,Trim. 1,enero,22,1,2020
2020-01-23 00:00:00,Trim. 1,enero,23,1,2020
2020-01-24 00:00:00,Trim. 1,enero,24,1,2020
2020-01-25 00:00:00,Trim. 1,enero,25,1,2020
2020-01-26 00:00:00,Trim. 1,enero,26,1,2020
2020-01-27 00:00:00,Trim. 1,enero,27,1,2020
2020-01-28 00:00:00,Trim. 1,enero,28,1,2020
2020-01-29 00:00:00,Trim. 1,enero,29,1,2020
2020-01-30 00:00:00,Trim. 1,enero,30,1,2020
2020-01-31 00:00:00,Trim. 1,enero,31,1,2020
2021-01-01 00:00:00,Trim. 1,enero,1,1,2021
2021-01-02 00:00:00,Trim. 1,enero,2,1,2021
2021-01-03 00:00:00,Trim. 1,enero,3,1,2021
2021-01-04 00:00:00,Trim. 1,enero,4,1,2021
2021-01-05 00:00:00,Trim. 1,enero,5,1,2021
2021-01-06 00:00:00,Trim. 1,enero,6,1,2021
2021-01-07 00:00:00,Trim. 1,enero,7,1,2021
2021-01-08 00:00:00,Trim. 1,enero,8,1,2021
2021-01-09 00:00:00,Trim. 1,enero,9,1,2021
2021-01-10 00:00:00,Trim. 1,enero,10,1,2021
2021-01-11 00:00:00,Trim. 1,enero,11,1,2021
2021-01-12 00:00:00,Trim. 1,enero,12,1,2021
2021-01-13 00:00:00,Trim. 1,enero,13,1,2021
2021-01-14 00:00:00,Trim. 1,enero,14,1,2021
2021-01-15 00:00:00,Trim. 1,enero,15,1,2021
2021-01-16 00:00:00,Trim. 1,enero,16,1,2021
